76	NM_001409	chr1	-	3404505	3528059	3407091	3527832	37	3404505,3407475,3409202,3410334,3410559,3410934,3411176,3412453,3413218,3413551,3413796,3414934,3415261,3415701,3416151,3416359,3417196,3417529,3417740,3418359,3421771,3421985,3422671,3424358,3425121,3425638,3426433,3427346,3428113,3428569,3431113,3431965,3440687,3496388,3511901,3519029,3527701,	3407153,3407523,3409331,3410463,3410688,3411063,3411305,3412582,3413347,3413683,3413925,3415063,3415390,3415830,3416280,3416488,3417328,3417658,3417872,3418485,3421906,3422120,3422800,3424487,3425253,3425809,3426556,3427466,3428251,3428692,3431236,3432091,3440810,3496493,3512011,3519164,3528059,	0	MEGF6	cmpl	cmpl	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,
612	NM_001204184	chr1	+	3569128	3652765	3598929	3649326	13	3569128,3598896,3599623,3624112,3638584,3639917,3643678,3644191,3644692,3645890,3646563,3647490,3649310,	3569205,3598994,3599744,3624355,3638771,3640033,3643788,3644334,3644781,3646012,3646712,3647629,3652765,	0	TP73	cmpl	cmpl	-1,0,2,0,0,1,0,2,1,0,2,1,2,
83	NM_004958	chr1	-	11166587	11322608	11167541	11319466	58	11166587,11168237,11169346,11169705,11172908,11174374,11174869,11175452,11177060,11181302,11182035,11184554,11186678,11187066,11187680,11188060,11188510,11188911,11189794,11190585,11193136,11194407,11199360,11199589,11204704,11205024,11206732,11210182,11217208,11227498,11259314,11259597,11264617,11269368,11270870,11272368,11272852,11273455,11276204,11288724,11290981,11291356,11292492,11293454,11294199,11297899,11298458,11300359,11301609,11303170,11307681,11307875,11313895,11316048,11316989,11318541,11319304,11322501,	11167557,11168343,11169427,11169786,11172974,11174510,11174944,11175525,11177143,11181425,11182183,11184690,11186853,11187201,11187863,11188183,11188609,11189008,11189895,11190834,11193254,11194523,11199492,11199715,11204812,11205102,11206848,11210283,11217348,11227574,11259460,11259760,11264760,11269515,11270963,11272531,11272965,11273623,11276291,11288975,11291111,11291491,11292585,11293544,11294322,11298105,11298674,11300604,11301738,11303357,11307790,11308151,11314030,11316249,11317222,11318650,11319480,11322608,	0	MTOR	cmpl	cmpl	2,1,1,1,1,0,0,2,0,0,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,2,2,1,0,0,0,0,1,0,0,-1,
717	NM_003000	chr1	-	17345224	17380665	17345375	17380514	8	17345224,17349102,17350467,17354243,17355094,17359554,17371255,17380442,	17345453,17349225,17350569,17354360,17355231,17359640,17371383,17380665,	0	SDHB	cmpl	cmpl	0,0,0,0,1,2,0,0,
11	NM_004442	chr1	+	23037330	23247993	23037475	23240063	16	23037330,23107913,23110884,23189529,23191369,23208851,23219376,23221964,23222903,23232479,23233202,23234445,23235514,23236874,23238936,23239954,	23037536,23107978,23111569,23189685,23191705,23208976,23219539,23222073,23222971,23232602,23233450,23234661,23235664,23237068,23239092,23247993,	0	EPHB2	cmpl	cmpl	0,1,0,1,1,1,0,1,2,1,1,0,0,0,2,2,
767	NM_002167	chr1	-	23884420	23886285	23885450	23885917	3	23884420,23885425,23885617,	23884906,23885510,23886285,	0	ID3	cmpl	cmpl	-1,0,0,
791	NM_139135	chr1	+	27022521	27108601	27022894	27107247	20	27022521,27056141,27057642,27059166,27087346,27087874,27088642,27089463,27092711,27092947,27094280,27097609,27098990,27099302,27099836,27100070,27100292,27101470,27102067,27105513,	27024031,27056354,27058095,27059283,27087587,27087964,27088810,27089776,27092857,27093057,27094490,27097817,27099123,27099478,27099987,27100208,27100389,27101711,27102198,27108601,	0	ARID1A	cmpl	cmpl	0,0,0,0,0,1,1,1,2,1,0,0,1,2,1,2,2,0,1,0,
866	NM_000760	chr1	-	36931643	36948915	36931957	36945097	17	36931643,36932830,36933158,36933422,36933675,36934756,36935252,36937033,36937666,36937838,36938117,36939035,36939364,36940977,36945033,36947078,36948411,	36932428,36932912,36933252,36933563,36933822,36934858,36935441,36937247,36937740,36937992,36938287,36939223,36939488,36941274,36945117,36947138,36948915,	0	CSF3R	cmpl	cmpl	0,2,1,1,1,1,1,0,1,0,1,2,1,1,0,-1,-1,
892	NM_001033081	chr1	-	40361095	40367687	40363043	40367106	2	40361095,40366610,	40363642,40367687,	0	MYCL	cmpl	cmpl	1,0,
919	NM_005373	chr1	+	43803474	43820135	43803519	43818443	12	43803474,43803769,43804212,43804941,43805634,43806057,43812115,43812462,43814513,43814933,43817886,43818188,	43803598,43803902,43804391,43805240,43805797,43806184,43812300,43812605,43814673,43815030,43817974,43820135,	0	MPL	cmpl	cmpl	0,1,2,1,0,1,2,1,0,1,2,0,
